Table: Gene sets enriched in phenotype clade_IIb (3 samples) [plain text format],,,,,,,,,,
,GS,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE
,follow link to MSigDB,,,,,,,,,
1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Details ...,199,0.59,1.62,0,0.003,0.004,5249,"tags=54%, list=20%, signal=67%"
2,HALLMARK_TGF_BETA_SIGNALING,Details ...,54,0.51,1.27,0.098,0.593,0.848,7713,"tags=70%, list=29%, signal=99%"
3,HALLMARK_UV_RESPONSE_DN,Details ...,144,0.47,1.27,0.046,0.428,0.867,5416,"tags=44%, list=21%, signal=55%"
4,HALLMARK_UV_RESPONSE_UP,Details ...,157,0.46,1.25,0.04,0.429,0.945,6657,"tags=51%, list=25%, signal=68%"
5,HALLMARK_HYPOXIA,Details ...,200,0.45,1.24,0.027,0.372,0.961,3751,"tags=35%, list=14%, signal=41%"
6,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Details ...,113,0.46,1.23,0.089,0.334,0.969,7024,"tags=48%, list=27%, signal=65%"
7,HALLMARK_HEDGEHOG_SIGNALING,Details ...,36,0.52,1.23,0.155,0.306,0.973,8164,"tags=58%, list=31%, signal=85%"
8,HALLMARK_PI3K_AKT_MTOR_SIGNALING,Details ...,105,0.45,1.2,0.117,0.362,0.988,7712,"tags=52%, list=29%, signal=74%"
9,HALLMARK_WNT_BETA_CATENIN_SIGNALING,Details ...,42,0.48,1.16,0.236,0.515,0.999,6712,"tags=52%, list=26%, signal=70%"
10,HALLMARK_HEME_METABOLISM,Details ...,198,0.42,1.15,0.14,0.521,0.999,7443,"tags=43%, list=28%, signal=60%"
11,HALLMARK_IL6_JAK_STAT3_SIGNALING,Details ...,87,0.43,1.12,0.232,0.58,1,4865,"tags=26%, list=19%, signal=32%"
12,HALLMARK_KRAS_SIGNALING_UP,Details ...,200,0.41,1.11,0.181,0.593,1,4617,"tags=29%, list=18%, signal=35%"
13,HALLMARK_IL2_STAT5_SIGNALING,Details ...,199,0.4,1.1,0.241,0.596,1,5991,"tags=35%, list=23%, signal=45%"
14,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Details ...,200,0.39,1.08,0.291,0.663,1,5177,"tags=34%, list=20%, signal=41%"
15,HALLMARK_MITOTIC_SPINDLE,Details ...,199,0.39,1.07,0.289,0.654,1,5848,"tags=42%, list=22%, signal=53%"
16,HALLMARK_INFLAMMATORY_RESPONSE,Details ...,200,0.38,1.05,0.372,0.72,1,6129,"tags=33%, list=23%, signal=42%"
17,HALLMARK_MYOGENESIS,Details ...,200,0.38,1.05,0.371,0.692,1,3987,"tags=25%, list=15%, signal=29%"
18,HALLMARK_APOPTOSIS,Details ...,159,0.37,1.01,0.462,0.798,1,6023,"tags=38%, list=23%, signal=49%"
19,HALLMARK_MTORC1_SIGNALING,Details ...,200,0.36,0.98,0.571,0.896,1,6100,"tags=40%, list=23%, signal=51%"
20,HALLMARK_ANDROGEN_RESPONSE,Details ...,100,0.37,0.97,0.579,0.883,1,6628,"tags=44%, list=25%, signal=59%"
21,HALLMARK_PROTEIN_SECRETION,,96,0.35,0.92,0.666,1,1,8101,"tags=48%, list=31%, signal=69%"
22,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,,48,0.37,0.91,0.635,0.996,1,6669,"tags=50%, list=25%, signal=67%"
23,HALLMARK_ALLOGRAFT_REJECTION,,200,0.33,0.91,0.742,0.969,1,6266,"tags=23%, list=24%, signal=30%"
24,HALLMARK_APICAL_JUNCTION,,200,0.33,0.91,0.756,0.939,1,5888,"tags=32%, list=22%, signal=41%"
25,HALLMARK_NOTCH_SIGNALING,,32,0.38,0.87,0.715,0.977,1,4527,"tags=31%, list=17%, signal=38%"
26,HALLMARK_GLYCOLYSIS,,200,0.31,0.85,0.872,0.985,1,5859,"tags=34%, list=22%, signal=43%"
27,HALLMARK_ANGIOGENESIS,,36,0.35,0.83,0.738,0.989,1,2022,"tags=17%, list=8%, signal=18%"
28,HALLMARK_SPERMATOGENESIS,,135,0.3,0.8,0.905,0.997,1,7290,"tags=26%, list=28%, signal=36%"
29,HALLMARK_MYC_TARGETS_V2,,58,0.32,0.79,0.864,0.977,1,7390,"tags=45%, list=28%, signal=62%"
30,HALLMARK_ESTROGEN_RESPONSE_EARLY,,200,0.28,0.77,0.948,0.96,1,6764,"tags=38%, list=26%, signal=50%"
31,HALLMARK_COMPLEMENT,,200,0.28,0.76,0.962,0.94,1,6431,"tags=32%, list=24%, signal=41%"
