UP_I_396,baseMean,log2FoldChange,lfcSE,pvalue,padj
HCCS,110.9153676,0.777688869,0.208781712,0.000137885,0.000612624
DSG2,141.9450041,0.473460306,0.196946021,0.014288507,0.036488046
TSPAN17,68.75002178,0.644268499,0.266304385,0.012057695,0.031484614
ITCH,63.73762868,0.78670035,0.274022015,0.002828598,0.009058867
DOCK9,45.22177448,0.882332965,0.315631346,0.003247341,0.010226679
RCOR1,118.5113351,0.750270124,0.203599647,0.00016261,0.000713293
XBP1,277.3214083,0.613879993,0.136500701,5.55E-06,3.24E-05
SMARCA1,34.1362355,0.891942896,0.385511397,0.012669353,0.032870289
SLC7A5,239.9374046,0.528909175,0.151962268,0.000438652,0.001743491
KCTD9,131.3023396,0.673697139,0.19708498,0.000487797,0.001913475
KXD1,85.32411951,0.895230055,0.24270067,0.000140283,0.000622078
PLEKHA8,22.70793041,0.930962087,0.448396158,0.020662695,0.049859276
GARS,336.7853245,0.526597752,0.123527495,1.70E-05,9.11E-05
SERPINE1,219.7075823,0.875025987,0.150506943,4.05E-09,3.53E-08
FBXO9,26.45067027,0.864678232,0.402974413,0.019565317,0.047643641
VEGFA,64.41051282,0.619532528,0.278219605,0.020573989,0.049688667
SLC2A1,724.5972988,-0.559482296,0.096053781,4.86E-09,4.18E-08
TMED5,51.11402066,0.985929947,0.308781864,0.000799711,0.002977074
STBD1,16.74482296,-1.684880019,0.661547545,0.002824372,0.009051632
ZMIZ2,36.6592866,0.919443373,0.355464368,0.005872552,0.017004033
SDC4,440.8027953,0.44944814,0.10816946,2.86E-05,0.000146474
LRRFIP1,93.94349258,0.779915246,0.237873766,0.000734499,0.002764136
BHLHE40,353.5240835,-0.619999275,0.121669097,2.89E-07,2.05E-06
HUS1,48.83151699,0.951873174,0.317528403,0.001594878,0.005495458
ANKRD52,96.71287804,0.907749763,0.225600774,3.60E-05,0.000181049
SMAD4,21.43006305,0.966727181,0.453818936,0.018151107,0.044745494
TM4SF19,45.77177002,0.685675646,0.306592039,0.018916249,0.046358415
ADM,135.4112431,0.515961202,0.195886771,0.007241772,0.020328815
ATXN7,36.87882393,0.995122573,0.350294907,0.002506675,0.00815467
MED30,40.00495974,0.940838431,0.364807548,0.005759191,0.016724924
KIFC2,132.7409597,0.911868146,0.200199586,3.31E-06,2.00E-05
FTH1,987.4665147,-0.75566972,0.093797145,5.96E-16,9.35E-15
ENC1,32.6253809,0.866196422,0.373206925,0.012517499,0.032519104
NRBP2,58.39204446,0.75655572,0.297636846,0.007689439,0.02142279
SHTN1,31.4353443,0.979967067,0.379638943,0.005482399,0.016035841
PDLIM7,63.65752394,0.807477858,0.273688363,0.002159311,0.007144209
PCNX3,45.22214738,0.857242407,0.323891738,0.005143733,0.015190138
TXNRD1,240.6558654,0.704402984,0.19087381,0.000172979,0.000754223
SMC5,29.79885158,0.92815432,0.39655843,0.011182885,0.029518709
EBLN3P,25.46105452,0.87787647,0.413435087,0.020317996,0.049156441
